frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
11,STEI,211,1,-12.40,-13.02,0.0000,2275,0.1138,0,-25.4,-51.9,0,,CLEAR,-1.250,2497.028,1.056,1.200,0,0.14497,0.14064,0.13804,0.16376,0.15615,0.14564,0.15441,0.14960,0.15537,0.14133,0.13818,0.11787,0.12417,0.11102,0.11926,0.10496,0.11191,0.11113,0.09092,0.08839,0.09049,0.06249,0.07896,0.06974,0.06803,0.14120,0.13906,0.13443,0.15364,0.14449,0.14938,0.14109,0.14782,0.13828,0.15387,0.13244,0.13169,0.13423,0.13467,0.12520,0.15656,0.13076,0.13952,0.13119,0.17340,0.14048,0.16603,0.12852,0.16596,0.12492
12,STEI,212,1,-12.40,-11.12,0.0000,-10290,0.1124,0,-25.5,-52.9,0,,CLEAR,-1.157,-9595.357,2.727,1.200,0,0.13020,0.13234,0.15875,0.14923,0.15532,0.14591,0.16902,0.15490,0.16740,0.15073,0.13098,0.09951,0.14294,0.12815,0.12228,0.10890,0.12387,0.09065,0.07913,0.06806,0.08421,0.08045,0.07732,0.05661,0.06560,0.13247,0.13222,0.13688,0.15115,0.14401,0.13098,0.12090,0.15366,0.12026,0.12967,0.12190,0.13926,0.11298,0.14290,0.12396,0.14889,0.12289,0.14657,0.12217,0.16447,0.12901,0.14406,0.13424,0.16502,0.13822
13,STEI,213,1,-12.33,-12.58,0.0000,1345,0.1125,0,-25.4,-51.8,0,,CLEAR,-0.934,-1974.288,0.886,1.200,0,0.12533,0.16102,0.14132,0.15391,0.16463,0.16515,0.15335,0.14160,0.16815,0.13857,0.13837,0.12169,0.13027,0.10245,0.12234,0.11069,0.10416,0.10883,0.08979,0.08836,0.09432,0.06471,0.07525,0.06905,0.07195,0.14285,0.12536,0.14792,0.14928,0.15066,0.13679,0.15017,0.13442,0.12322,0.13614,0.14889,0.13929,0.11892,0.13608,0.13536,0.13099,0.13210,0.14371,0.13319,0.15105,0.14180,0.16832,0.11880,0.17400,0.13841
14,STEI,214,1,-12.91,-13.48,0.0000,5524,0.1118,0,-25.3,-52.1,0,,CLEAR,-0.775,941.688,0.770,1.200,0,0.14531,0.16009,0.13651,0.14867,0.16168,0.15386,0.15619,0.14019,0.14824,0.13934,0.13269,0.13600,0.13864,0.12802,0.13586,0.10622,0.12300,0.09223,0.09842,0.09367,0.09097,0.07659,0.07397,0.06405,0.07054,0.13894,0.14949,0.14898,0.15856,0.15246,0.14188,0.13933,0.15153,0.14079,0.13145,0.13111,0.15744,0.13058,0.14371,0.14470,0.16096,0.13144,0.15137,0.13587,0.14423,0.13593,0.16968,0.12648,0.14337,0.14046
15,STEI,215,1,-13.23,-12.93,0.0000,-5243,0.1109,0,-25.2,-52.9,0,,CLEAR,-0.727,-10297.867,3.194,1.200,0,0.14181,0.14881,0.14550,0.14511,0.14946,0.16532,0.16950,0.15183,0.16529,0.15903,0.14988,0.12717,0.13849,0.13019,0.12831,0.09939,0.11497,0.10328,0.10679,0.07576,0.10030,0.07751,0.07473,0.06100,0.08759,0.15370,0.13462,0.12732,0.14409,0.14836,0.15039,0.13527,0.15118,0.12595,0.13623,0.12888,0.15711,0.14805,0.14010,0.13475,0.15596,0.13701,0.16312,0.14085,0.16341,0.14231,0.15611,0.13634,0.15037,0.12112
16,STEI,216,1,-15.27,-14.28,0.0000,12385,0.1103,0,-25.1,-51.8,0,,ADA_OBJEK,-0.658,-4265.361,1.402,1.200,1,0.14725,0.14797,0.13853,0.15274,0.16751,0.17604,0.13439,0.16341,0.15545,0.15059,0.13750,0.12524,0.14415,0.13901,0.12605,0.10490,0.11186,0.09832,0.09101,0.08155,0.10113,0.07411,0.06892,0.06627,0.07361,0.15502,0.14671,0.14160,0.14397,0.16778,0.12662,0.13809,0.14211,0.15306,0.14574,0.14454,0.14351,0.14745,0.15144,0.15357,0.15269,0.14847,0.14794,0.15156,0.15996,0.13448,0.14398,0.14525,0.16052,0.13739
17,STEI,217,1,-14.70,-12.57,0.0000,-4615,0.1110,0,-25.1,-52.3,0,,ADA_OBJEK,-0.494,-6826.428,1.534,1.200,1,0.15460,0.14615,0.15163,0.15348,0.14633,0.15828,0.15579,0.15060,0.16298,0.13968,0.15582,0.11185,0.12561,0.12165,0.12576,0.08859,0.11281,0.11691,0.11405,0.06875,0.09871,0.06447,0.08731,0.06004,0.07676,0.15213,0.13611,0.13984,0.16060,0.15479,0.15044,0.12098,0.15284,0.14004,0.13425,0.13613,0.14383,0.13914,0.13858,0.14099,0.16073,0.14848,0.15398,0.14458,0.16241,0.14353,0.15985,0.13754,0.17381,0.13866
18,STEI,218,1,-12.97,-10.41,0.0000,-15403,0.1110,0,-25.4,-51.8,0,,ADA_OBJEK,-0.380,-8396.298,1.573,1.200,1,0.14029,0.15497,0.15982,0.13988,0.15157,0.14459,0.15714,0.13165,0.14834,0.14031,0.14423,0.11759,0.14127,0.11090,0.12814,0.10508,0.10632,0.11049,0.09905,0.07801,0.09922,0.06325,0.08097,0.03564,0.07576,0.15474,0.13229,0.12467,0.15262,0.14574,0.13163,0.14079,0.15349,0.13365,0.14810,0.11931,0.13730,0.12704,0.14861,0.12425,0.16050,0.14011,0.15519,0.12060,0.16073,0.13029,0.15616,0.13732,0.16015,0.14092
19,STEI,219,1,-12.53,-12.20,0.0000,1600,0.1109,0,-25.4,-52.9,0,,CLEAR,-0.321,-969.627,0.702,1.200,0,0.13963,0.13884,0.13408,0.14076,0.15370,0.14533,0.13985,0.14287,0.16414,0.14374,0.13966,0.11935,0.13432,0.13281,0.11712,0.10318,0.12405,0.11318,0.08725,0.06732,0.10093,0.09771,0.07549,0.05650,0.07419,0.13799,0.14634,0.12875,0.15859,0.14086,0.14601,0.14297,0.15640,0.14794,0.13053,0.12734,0.13888,0.14250,0.13347,0.13841,0.14179,0.12935,0.13061,0.14622,0.15529,0.14094,0.15024,0.14902,0.15884,0.13611
20,STEI,220,1,-12.65,-12.50,0.0000,607,0.1105,0,-25.6,-52.8,0,,CLEAR,-0.283,7017.426,1.177,1.200,0,0.13749,0.13601,0.13401,0.14304,0.16068,0.15126,0.14202,0.15223,0.14509,0.14145,0.13124,0.11800,0.15170,0.13179,0.11479,0.09466,0.10122,0.10383,0.09648,0.09002,0.09121,0.07664,0.06445,0.05776,0.05620,0.12919,0.13820,0.13143,0.14132,0.14649,0.14519,0.14989,0.15080,0.14216,0.14108,0.13137,0.14645,0.12621,0.13511,0.13096,0.14783,0.13332,0.14467,0.14296,0.16219,0.13536,0.14534,0.13005,0.14302,0.13048
21,STEI,221,1,-12.88,-12.66,0.0000,-6099,0.1108,0,-25.4,-51.9,0,,ADA_OBJEK,-0.247,-8733.598,1.364,1.200,1,0.14431,0.14506,0.14061,0.15340,0.15298,0.15700,0.16064,0.13581,0.15181,0.13942,0.13337,0.12021,0.15087,0.13016,0.12152,0.09882,0.12185,0.10610,0.09055,0.07542,0.08673,0.07568,0.08304,0.06312,0.07200,0.14157,0.13806,0.14055,0.14609,0.14873,0.13704,0.13348,0.14095,0.14057,0.14616,0.12616,0.13551,0.13857,0.13553,0.13926,0.15842,0.13310,0.13876,0.14724,0.15738,0.13464,0.15219,0.13140,0.15073,0.12462
22,STEI,222,1,-10.88,-11.26,0.0000,-13225,0.1112,0,-25.3,-51.6,0,,CLEAR,-0.200,-7725.252,1.113,1.200,0,0.15460,0.14159,0.16646,0.16127,0.17824,0.15077,0.17128,0.13850,0.16160,0.14092,0.14023,0.11880,0.14048,0.11960,0.11761,0.08981,0.11376,0.10207,0.09328,0.08212,0.10061,0.07815,0.08727,0.04785,0.08057,0.14291,0.14471,0.13061,0.16231,0.15648,0.13307,0.13034,0.15343,0.13640,0.12468,0.13169,0.15092,0.12382,0.14754,0.12611,0.15273,0.13834,0.14185,0.11492,0.15836,0.13771,0.16480,0.11653,0.15250,0.11611
23,STEI,223,1,-14.10,-13.58,0.0000,1129,0.1111,0,-25.1,-52.1,0,,CLEAR,-0.161,1076.811,0.565,1.200,0,0.13799,0.15661,0.16386,0.15414,0.16337,0.15606,0.16885,0.14277,0.15234,0.15421,0.14074,0.10738,0.15638,0.12645,0.11842,0.11168,0.12706,0.10838,0.10091,0.08987,0.10409,0.08767,0.08390,0.06297,0.08164,0.14347,0.13894,0.14891,0.16801,0.15885,0.15341,0.12937,0.14882,0.13809,0.14334,0.13531,0.15313,0.13603,0.13395,0.13842,0.14508,0.13783,0.16660,0.13018,0.15702,0.14634,0.16474,0.14414,0.15785,0.12903
24,STEI,224,1,-14.92,-12.95,0.0000,6506,0.1107,0,-25.1,-52.4,0,,CLEAR,-0.143,4731.166,0.923,1.200,0,0.15310,0.15076,0.14891,0.14913,0.17787,0.16328,0.15040,0.15053,0.16391,0.14466,0.14226,0.13953,0.15905,0.12462,0.12674,0.10154,0.11779,0.08901,0.08843,0.08354,0.08611,0.09087,0.07573,0.06080,0.07290,0.15950,0.13295,0.14357,0.16400,0.13863,0.13612,0.14307,0.14987,0.13720,0.12701,0.13870,0.14255,0.14297,0.14120,0.13247,0.14701,0.13302,0.16008,0.14375,0.16022,0.16333,0.14822,0.14855,0.16123,0.12310
