frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
11,STEI,110,1,-11.19,-9.63,0.0000,-7172,0.1133,0,-25.6,-53.1,0,,CLEAR,-0.931,5312.777,1.050,1.200,0,0.13341,0.14747,0.15114,0.14593,0.16114,0.15777,0.14882,0.14271,0.13803,0.14091,0.12723,0.12251,0.14617,0.10640,0.10444,0.08870,0.13292,0.08674,0.08893,0.06152,0.08887,0.07719,0.05090,0.04011,0.07638,0.14562,0.11691,0.13003,0.13659,0.13618,0.13870,0.13839,0.14870,0.13307,0.14839,0.12039,0.13684,0.13587,0.13425,0.12663,0.15279,0.13880,0.13723,0.13419,0.15472,0.12246,0.15517,0.11748,0.16854,0.12423
12,STEI,111,1,-12.68,-9.33,0.0000,-7003,0.1118,0,-25.4,-52.2,0,,CLEAR,-0.907,5506.171,1.160,1.200,0,0.16396,0.15200,0.15311,0.15796,0.15996,0.15322,0.15435,0.14727,0.15328,0.14209,0.11922,0.10689,0.12877,0.12338,0.11608,0.09049,0.11357,0.08951,0.08141,0.06394,0.08693,0.07573,0.05630,0.03498,0.06904,0.14628,0.13105,0.13662,0.15044,0.14334,0.13915,0.12223,0.15265,0.14060,0.13871,0.13077,0.13087,0.14056,0.15034,0.12247,0.16252,0.13015,0.13711,0.13584,0.16832,0.13979,0.14882,0.12631,0.14951,0.12882
13,STEI,112,1,-13.72,-11.34,0.0000,7653,0.1120,0,-25.3,-52.2,0,,CLEAR,-0.750,-1597.871,0.851,1.200,0,0.14479,0.15594,0.14590,0.13090,0.15626,0.16783,0.15905,0.14705,0.18127,0.15257,0.13633,0.11437,0.13685,0.12258,0.10627,0.10931,0.11637,0.10258,0.08620,0.06371,0.09156,0.06806,0.06651,0.04654,0.07540,0.14742,0.12370,0.14836,0.13894,0.15474,0.12903,0.15388,0.15040,0.14169,0.12481,0.13711,0.14370,0.13886,0.14490,0.11615,0.13100,0.13369,0.15963,0.13993,0.14181,0.13946,0.16882,0.13861,0.15855,0.14627
14,STEI,113,1,-12.62,-11.10,0.0000,-5643,0.1120,0,-25.3,-52.4,0,,CLEAR,-0.602,-6453.649,1.219,1.200,0,0.15137,0.14653,0.14192,0.15314,0.16413,0.15211,0.15090,0.14766,0.15751,0.13757,0.12820,0.13067,0.15052,0.12037,0.10377,0.08871,0.10622,0.10661,0.09060,0.06782,0.09493,0.08380,0.08176,0.04588,0.08698,0.15190,0.13677,0.13700,0.15704,0.14668,0.12358,0.12919,0.15816,0.14914,0.12818,0.12669,0.14157,0.14179,0.14080,0.13980,0.14074,0.14376,0.14985,0.14704,0.16071,0.13199,0.15886,0.13457,0.17218,0.13772
15,STEI,114,1,-12.42,-11.38,0.0000,-6625,0.1113,0,-25.2,-53.0,0,,CLEAR,-0.543,6224.847,1.118,1.200,0,0.13488,0.16816,0.15156,0.15251,0.15395,0.15788,0.14807,0.14610,0.15295,0.15984,0.14628,0.13364,0.13772,0.11366,0.10383,0.09126,0.11668,0.10706,0.07899,0.07607,0.09490,0.07871,0.06722,0.06466,0.07815,0.14394,0.12252,0.14187,0.16578,0.15521,0.13825,0.13645,0.16130,0.13893,0.14055,0.12720,0.13901,0.13063,0.13899,0.14299,0.15870,0.13091,0.16998,0.13988,0.16240,0.14314,0.15055,0.12680,0.16826,0.14882
16,STEI,115,1,-12.07,-9.99,0.0000,-12324,0.1118,0,-25.3,-51.1,0,,ADA_OBJEK,-0.392,-9385.595,1.351,1.200,1,0.15809,0.15850,0.16151,0.14994,0.17251,0.15632,0.16432,0.12925,0.16525,0.12678,0.13143,0.10383,0.12819,0.12319,0.12466,0.09251,0.12285,0.08125,0.08909,0.06120,0.09274,0.08064,0.06552,0.04928,0.09122,0.14657,0.13011,0.14112,0.16445,0.12865,0.14835,0.12579,0.13888,0.12893,0.14009,0.12710,0.15813,0.13387,0.15136,0.12304,0.15421,0.12933,0.18065,0.11961,0.16566,0.12071,0.15965,0.12290,0.17128,0.12113
17,STEI,116,1,-9.55,-9.98,0.0000,-26393,0.1114,0,-25.9,-52.8,0,,CLEAR,-0.362,-4850.858,0.947,1.200,0,0.14511,0.13073,0.14626,0.12146,0.14871,0.12809,0.16454,0.13193,0.14567,0.11066,0.12769,0.10700,0.11768,0.09670,0.11463,0.09166,0.10406,0.07730,0.09956,0.06046,0.09136,0.06894,0.06415,0.06081,0.05698,0.12426,0.14516,0.14713,0.13269,0.14333,0.15028,0.13265,0.15373,0.12342,0.13793,0.10996,0.13378,0.10592,0.15185,0.11955,0.15784,0.11813,0.16222,0.12760,0.16032,0.12774,0.15721,0.10980,0.16557,0.11866
18,STEI,117,1,-10.94,-12.34,0.0000,-5990,0.1118,0,-25.7,-53.0,0,,CLEAR,-0.267,-2445.326,0.666,1.200,0,0.15346,0.14964,0.12771,0.12336,0.16198,0.15910,0.14521,0.16669,0.16149,0.13029,0.13554,0.12078,0.11407,0.09611,0.11194,0.09331,0.10482,0.10149,0.09804,0.08342,0.07746,0.06847,0.07587,0.05890,0.05285,0.13216,0.13181,0.13529,0.13828,0.13645,0.14823,0.13570,0.13532,0.13373,0.12716,0.12988,0.13205,0.12872,0.13510,0.13725,0.15064,0.12843,0.15171,0.10804,0.15382,0.11676,0.15302,0.12117,0.15419,0.11989
19,STEI,118,1,-12.08,-12.05,0.0000,-6387,0.1111,0,-25.6,-52.9,0,,CLEAR,-0.263,6785.641,1.158,1.200,0,0.13187,0.14974,0.14902,0.16031,0.14403,0.15608,0.15897,0.14296,0.14987,0.12921,0.12592,0.12457,0.11448,0.10916,0.11361,0.11029,0.10033,0.08497,0.09074,0.07075,0.08993,0.06052,0.06944,0.05346,0.06150,0.13218,0.13337,0.12994,0.14566,0.13862,0.13331,0.14557,0.15265,0.13471,0.14111,0.12325,0.14059,0.12024,0.14042,0.13667,0.15102,0.12464,0.14687,0.14252,0.15411,0.12069,0.14271,0.12586,0.16759,0.11596
20,STEI,119,1,-13.07,-11.27,0.0000,-13973,0.1115,0,-25.5,-51.4,0,,CLEAR,-0.167,-8415.578,1.170,1.200,0,0.15503,0.14879,0.15370,0.14427,0.15890,0.15009,0.14728,0.13750,0.15004,0.12737,0.13768,0.13715,0.13508,0.11428,0.10305,0.09453,0.10699,0.08282,0.09187,0.05556,0.07797,0.06313,0.07635,0.05750,0.06244,0.13605,0.13791,0.14647,0.14342,0.14940,0.15823,0.13635,0.13441,0.13044,0.12967,0.12470,0.13386,0.13194,0.14834,0.12589,0.13806,0.11786,0.15623,0.12457,0.16002,0.13939,0.16715,0.12290,0.16068,0.13138
